1;El vardır, ele olur el. Bel vardır, bele olur bel. Dil vardır, dile olur dil. Göl vardır, göle olur göl. Döl vardır, döle olur döl.
2;Saat daha sabah 8. Büyücüler açılmamıştır. Gidelim şurada bir yerde çay kahve bir şeyler içelim.
3;Bu hilti sesinin bir tazminatı olması lazım. Belediye gelecek, daire daire kapı kapı gezecek. ‘Hilti sesine ne kadar maruz kaldınız efendim?’ diye soracak. Bunun saat başı bir bedeli olacak. Sonra toptan belediye sana bunun parasını verecek.
4;İlkkan bizim senle sırt sırta verip de s*kemeyeceğimiz insan yok, ben buna inanıyorum kardeşim..
5;Bak bu cenaze arabası. Eskiden cenaze taşıyormuş, şimdi kendi ölü.
6;Sen IBAN'a 'ayben' mi diyorsun İlkkan?
7;Kardeşim ben senin yılgın bir hoşgörüyle beni benimsemene mi kaldım?
8;Kimsenin hiçbir şey bilmediği yerde bir insan her şeyi bilebilir
9;Lan yaşadığımız yetmiyor bir de senden dinliyoruz hayatın acı gerçeklerini..
10;Gerçeklerin bir kıymeti yok ki. Genel kanı neyse onu yaşıyoruz.
11;Ben senin gözlerinin içine bakıyorum ve göt deliğini görüyorum kardeşim, o kadar şeffafsın sen bana.
12;Ya güzel kardeşim bir şeyin tam tersini söyle al sana farklı bakış açısı.
13;Bu gece canımızı kurtarmak istiyorsak s*ke s*ke köfteci açacağız.
14;İlkkan ne oldu sana? Birkaç gündür kangal köpeği gibisin.
15;Ama ben naptım? Ben de bütün yılgınlığımı, öfkemi hatta en derinlerdeki kötülüğümü ateşlerde eritip iradeye çevirdim kardeşim. Sende de bu iradeyi eğip bükecek güç yok!
16;date mi var? date ne la?